Breakfast;2018;8;22;9;10
Lunch;2018;8;22;12;13
Math;2018;8;22;14;15
Dinner;2018;8;22;17;18
Commute;2018;8;22;18;19
Gym;2018;8;23;14;16
Camping;2018;8;24;5;6
Breakfast;2018;8;24;9;10
Lunch;2018;8;24;12;13
Dinner;2018;8;24;17;18
Commute;2018;8;24;18;19
Art;2018;8;25;2;3
Science;2018;8;26;12;1
Tutoring;2018;8;26;16;17
Camping;2018;8;27;5;6
Breakfast;2018;8;27;9;10
Lunch;2018;8;27;12;13
Math;2018;8;27;14;15
Dinner;2018;8;27;17;18
Commute;2018;8;27;18;19
Gym;2018;8;28;14;16
Camping;2018;8;29;5;6
Breakfast;2018;8;29;9;10
Lunch;2018;8;29;12;13
Math;2018;8;29;14;15
Dinner;2018;8;29;17;18
Commute;2018;8;29;18;19
Gym;2018;8;30;14;16
Camping;2018;8;31;5;6
Breakfast;2018;8;31;9;10
Lunch;2018;8;31;12;13
Dinner;2018;8;31;17;18
Commute;2018;8;31;18;19
Art;2018;9;1;2;3
Science;2018;9;2;12;1
Tutoring;2018;9;2;16;17
Camping;2018;9;3;5;6
Breakfast;2018;9;3;9;10
Lunch;2018;9;3;12;13
Math;2018;9;3;14;15
Dinner;2018;9;3;17;18
Commute;2018;9;3;18;19
Gym;2018;9;4;14;16
Camping;2018;9;5;5;6
Breakfast;2018;9;5;9;10
Lunch;2018;9;5;12;13
Math;2018;9;5;14;15
Dinner;2018;9;5;17;18
Commute;2018;9;5;18;19
Gym;2018;9;6;14;16
Camping;2018;9;7;5;6
Breakfast;2018;9;7;9;10
Lunch;2018;9;7;12;13
Dinner;2018;9;7;17;18
Commute;2018;9;7;18;19
Art;2018;9;8;2;3
Science;2018;9;9;12;1
Tutoring;2018;9;9;16;17
Camping;2018;9;10;5;6
Breakfast;2018;9;10;9;10
Lunch;2018;9;10;12;13
Math;2018;9;10;14;15
Dinner;2018;9;10;17;18
Commute;2018;9;10;18;19
Gym;2018;9;11;14;16
Camping;2018;9;12;5;6
Breakfast;2018;9;12;9;10
Lunch;2018;9;12;12;13
Math;2018;9;12;14;15
Dinner;2018;9;12;17;18
Commute;2018;9;12;18;19
Gym;2018;9;13;14;16
Camping;2018;9;14;5;6
Breakfast;2018;9;14;9;10
Lunch;2018;9;14;12;13
Dinner;2018;9;14;17;18
Commute;2018;9;14;18;19
Art;2018;9;15;2;3
Science;2018;9;16;12;1
Tutoring;2018;9;16;16;17
Camping;2018;9;17;5;6
Breakfast;2018;9;17;9;10
Lunch;2018;9;17;12;13
Math;2018;9;17;14;15
Dinner;2018;9;17;17;18
Commute;2018;9;17;18;19
Gym;2018;9;18;14;16
Camping;2018;9;19;5;6
Breakfast;2018;9;19;9;10
Lunch;2018;9;19;12;13
Math;2018;9;19;14;15
Dinner;2018;9;19;17;18
Commute;2018;9;19;18;19
Gym;2018;9;20;14;16
Camping;2018;9;21;5;6
Breakfast;2018;9;21;9;10
Lunch;2018;9;21;12;13
Dinner;2018;9;21;17;18
Commute;2018;9;21;18;19
Art;2018;9;22;2;3
Science;2018;9;23;12;1
Tutoring;2018;9;23;16;17
Camping;2018;9;24;5;6
Breakfast;2018;9;24;9;10
Lunch;2018;9;24;12;13
Math;2018;9;24;14;15
Dinner;2018;9;24;17;18
Commute;2018;9;24;18;19
Gym;2018;9;25;14;16
Camping;2018;9;26;5;6
Breakfast;2018;9;26;9;10
Lunch;2018;9;26;12;13
Math;2018;9;26;14;15
Dinner;2018;9;26;17;18
Commute;2018;9;26;18;19
Gym;2018;9;27;14;16
Camping;2018;9;28;5;6
Breakfast;2018;9;28;9;10
Lunch;2018;9;28;12;13
Dinner;2018;9;28;17;18
Commute;2018;9;28;18;19
Art;2018;9;29;2;3
Science;2018;9;30;12;1
Tutoring;2018;9;30;16;17
Lunch;2018;10;1;12;13
Dinner;2018;10;1;17;18
Lunch;2018;10;3;12;13
Dinner;2018;10;3;17;18
Lunch;2018;10;5;12;13
Dinner;2018;10;5;17;18
Lunch;2018;10;8;12;13
Dinner;2018;10;8;17;18
Lunch;2018;10;10;12;13
Dinner;2018;10;10;17;18
Lunch;2018;10;12;12;13
Dinner;2018;10;12;17;18
Lunch;2018;10;15;12;13
Dinner;2018;10;15;17;18
Lunch;2018;10;17;12;13
Dinner;2018;10;17;17;18
Lunch;2018;10;19;12;13
Dinner;2018;10;19;17;18
Lunch;2018;10;22;12;13
Dinner;2018;10;22;17;18
Lunch;2018;10;24;12;13
Dinner;2018;10;24;17;18
Lunch;2018;10;26;12;13
Dinner;2018;10;26;17;18
Lunch;2018;10;29;12;13
Dinner;2018;10;29;17;18
Lunch;2018;10;31;12;13
Dinner;2018;10;31;17;18
Lunch;2018;11;2;12;13
Dinner;2018;11;2;17;18
Lunch;2018;11;5;12;13
Dinner;2018;11;5;17;18
Lunch;2018;11;7;12;13
Dinner;2018;11;7;17;18
Lunch;2018;11;9;12;13
Dinner;2018;11;9;17;18
Lunch;2018;11;12;12;13
Dinner;2018;11;12;17;18
Lunch;2018;11;14;12;13
Dinner;2018;11;14;17;18
Lunch;2018;11;16;12;13
Dinner;2018;11;16;17;18
Lunch;2018;11;19;12;13
Dinner;2018;11;19;17;18
Lunch;2018;11;21;12;13
Dinner;2018;11;21;17;18
Lunch;2018;11;23;12;13
Dinner;2018;11;23;17;18
Lunch;2018;11;26;12;13
Dinner;2018;11;26;17;18
Lunch;2018;11;28;12;13
Dinner;2018;11;28;17;18
Lunch;2018;11;30;12;13
Dinner;2018;11;30;17;18
